course,subject,question,explanation,type,options
Anaesthesiology,"Pre-op Investigations, ECG","
<html xmlns=""http://www.w3.org/1999/xhtml""><head></head><body><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">A 51-year-old gentleman with an unremarkable medical history visits the preoperative assessment clinic for an elective hernia repair. He is currently symptom-free and has not experienced any recent health changes. His body mass index stands at 28 kg/m</span><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;""><span style=""vertical-align:super;""><sup>2</sup></span></span><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">. His blood pressure measures 128/78 mmHg, and his pulse is steady at 72 beats per minute. What preoperative tests are advisable for this patient?</span></body></html>
","
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">In the context of low-risk surgeries like elective herniorrhaphy, healthy patients do not always require standard preoperative tests.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">A BMI of 29 is categorized as ""overweight."" He remains classified as ASA 1, indicating a generally healthy patient. The ASA classifications are established by the American Society of Anesthesiologists (ASA) Physical Status Classification System, which is also utilized in the UK to evaluate patient fitness prior to surgery.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">An ECG is typically recommended for major surgeries in patients aged 66 or older or those with systemic illnesses. It is not generally provided for healthy individuals undergoing intermediate procedures like elective herniorrhaphy.</span></p>
<br /><em><colorcyan>This question can be complex due to varying practices worldwide, including in the UK. For those interested in more information, refer to the NICE guidelines on this </colorcyan></em><a href=""https://www.nice.org.uk/guidance/ng45/evidence/full-guideline-87258149468""><u><em><colorblue>here</colorblue></em></u></a><em><colorcyan>.</colorcyan></em><colorcyan></colorcyan><colorcyan></colorcyan>
",single_choice,"[{""option"":""Chest x-ray"",""correct"":false},{""option"":""ECG"",""correct"":false},{""option"":""Coagulation profile"",""correct"":false},{""option"":""Renal function"",""correct"":false},{""option"":""Investigations above are not required"",""correct"":true}]"
Anaesthesiology,"Pre-op Investigations, ECG","
<html xmlns=""http://www.w3.org/1999/xhtml""><head></head><body><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">A 51-year-old gentleman with no notable medical history visits the preoperative assessment clinic prior to his elective hernia repair surgery. He is symptom-free and reports no recent health changes. His body mass index is 28 kg/m</span><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;""><span style=""vertical-align:super;""><sup>2</sup></span></span><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">. His blood pressure reads 128/78 mmHg, and his pulse is steady at 72 beats per minute. What preoperative assessments are advisable for him?</span></body></html>
","
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">In the context of low-risk surgeries like elective herniorrhaphy, routine preoperative assessments are generally not necessary for healthy patients.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">With a BMI of 27, he remains in the ""overweight"" range but is classified as ASA 1, indicating he is a normal healthy patient. The ASA classifications, developed by the American Society of Anesthesiologists, are also utilized in the UK to evaluate surgical fitness.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">An ECG is recommended for major surgeries in patients older than 64 or those with systemic diseases. However, it is not routinely performed for healthy individuals undergoing intermediate procedures like elective herniorrhaphy.</span></p>
<br /><em><colorcyan>This question is complex due to differing practices internationally and within the UK. For further details, you can refer to the NICE guidelines on this </colorcyan></em><a href=""https://www.nice.org.uk/guidance/ng45/evidence/full-guideline-87258149468""><u><em><colorblue>here</colorblue></em></u></a><em><colorcyan>.</colorcyan></em><colorcyan></colorcyan><colorcyan></colorcyan>
",single_choice,"[{""option"":""Chest x-ray"",""correct"":false},{""option"":""ECG"",""correct"":false},{""option"":""Coagulation profile"",""correct"":false},{""option"":""Renal function"",""correct"":false},{""option"":""Investigations above are not required"",""correct"":true}]"
Anaesthesiology,Opioid toxicity Vs Paralytic ileus,"
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">A 47-year-old man underwent a colectomy with an ileostomy three days ago as treatment for his ulcerative colitis. He is experiencing nausea and has begun vomiting in the last four hours. He appears lethargic and has been receiving intravenous morphine for pain relief. His vital signs include a temperature of 37.7°C, a heart rate of 80 beats per minute, and a respiratory rate of 6 breaths per minute. Upon examination, bowel sounds are diminished, and he exhibits generalized abdominal tenderness with distention. Blood tests reveal the following results:</span></p><br></br><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Haemoglobin 142 g/L (130-180)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">White cell count 10 x 10</span><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;""><sup>9</sup></span><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">/L (4-11)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Platelets 320 x 10</span><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;""><sup>9</sup></span><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">/L (150-400)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Sodium 141 mmol/L (135-145)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Potassium 3.5 mmol/L (3.5 - 5)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Calcium 2.42 mmol/l (2.1-2.6)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Urea 3 mmol/L (2.0-7)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Creatinine 92 μmol/L (70-150)</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">eGFR &gt;90 mL/min</span></p><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">CRP 38 mg/L (  &lt;  10) </span></p><br></br><p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">What is the most probable cause of his symptoms?</span></p>
","
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">His symptoms of nausea, vomiting, and reduced bowel activity stem from opioid toxicity. This condition often results in fever and a slower respiratory rate as well.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #45818e; background-color: transparent; font-weight: 400; font-style: italic; text-decoration: none;"">A critical sign to note is the decreased respiratory rate, which indicates opioid overdose instead of paralytic ileus.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Post-operative CRP levels can be elevated, making it an unreliable marker for infection. Infections typically increase respiratory rates rather than decrease them.</span></p>
",single_choice,"[{""option"":""Ulcerative colitis flare up"",""correct"":false},{""option"":""Anastomotic leak"",""correct"":false},{""option"":""Paralytic ileus from prolonged handling of bowels"",""correct"":false},{""option"":""Wound infection"",""correct"":false},{""option"":""Opioid toxicity"",""correct"":true}]"
Anaesthesiology,Postdural puncture headache,"
<html xmlns=""http://www.w3.org/1999/xhtml""><head></head><body><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">A 35-year-old woman underwent spinal anaesthesia for an appendectomy. During her recovery in the postoperative area, she developed a severe, pulsating headache and neck tension whenever she attempted to sit up or raise her head from a lying position. The pain subsides when she lies flat. She rates her pain at 10/10, experiences nausea, and has sensitivity to light. Her vital signs show a temperature of 36.9°C, blood pressure of 93/65 mmHg, a respiratory rate of 15 breaths per minute, and a pulse of 90 beats per minute. There are no signs of abdominal pain or guarding. Intravenous fluids and simple analgesics have been administered to relieve her discomfort. What should be the next step in her management?</span></body></html>
","
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">Post-dural puncture headache (PDPH) is a frequent and significant issue that can arise after a meningeal puncture during spinal anesthesia.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">Typically, reassurance, adequate hydration, caffeine, and basic pain relief are sufficient treatments. Approximately 95% of these headaches resolve in under a week.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">Imaging is unnecessary unless other symptoms indicate different conditions or the PDPH diagnosis is uncertain.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">The surgical procedure went smoothly, with normal vital signs and a relaxed abdomen, eliminating the need for an abdominal ultrasound.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">While IV morphine could be considered for pain management, oral analgesics are usually adequate.</span></p>
",single_choice,"[{""option"":""Reassure and continue to observe"",""correct"":true},{""option"":""CT brain"",""correct"":false},{""option"":""Ultrasound abdomen"",""correct"":false},{""option"":""IV morphine"",""correct"":false},{""option"":""MRI brain"",""correct"":false}]"
Anaesthesiology,Phenytoin calculation,"
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">A 39-year-old man was admitted to the Emergency Department after experiencing seizures during a family event. His wife reported that he had been seizing for 34 minutes without regaining consciousness. Recognizing the situation as status epilepticus, medical staff administered intravenous lorazepam, which had no effect. Subsequently, a decision was made to initiate treatment with phenytoin. The patient, weighing 100 kg, requires a dosage of 20 mg/kg of phenytoin, to be administered at a rate of 50 mg/min. How long will it take to administer the required dosage of phenytoin?</span></p>
","
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">This task evaluates your ability to perform a swift and straightforward calculation. It clearly requests the duration for administering phenytoin infusion.</span></p> 
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">The patient needs 20 mg per kg of phenytoin, and their weight is 99 kg.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">20 x 99 → 1980 mg</span></p> 
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Given the infusion rate of 50 mg/minute,</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">1980 mg / 50 = 39.6 minutes.</span></p>
",single_choice,"[{""option"":""2 minutes"",""correct"":false},{""option"":""2.5 minutes"",""correct"":false},{""option"":""30 minutes"",""correct"":false},{""option"":""40 minutes"",""correct"":true},{""option"":""50 minutes"",""correct"":false}]"
Anaesthesiology,"Chronic obstructive pulmonary disease (COPD), management of acute exacerbation","
<html xmlns=""http://www.w3.org/1999/xhtml""><head></head><body><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">A 54-year-old man with a history of chronic obstructive pulmonary disease (COPD) arrives at the Emergency Department reporting worsening shortness of breath, wheezing, and a productive cough with yellowish sputum. Despite treatment with intravenous hydrocortisone, salbutamol nebulizers, and ipratropium nebulizers, his condition has not improved. Upon examination, he shows signs of dyspnea, with a respiratory rate of 28 breaths per minute, blood pressure of 130/70 mmHg, and oxygen saturation at 85% on room air. An arterial blood gas (ABG) test reveals:</span></p><br /><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">pH 7.23 (7.35 – 7.45)</span></p><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">PaO2: 7.3 kPa (10-14 kPa)</span></p><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">PaCO2: 8.0 kPa (4.7-6.0)</span></p><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">Bicarbonate 26 mmol/L (22-26)</span></p><br /><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">What is the best initial management approach for this patient?</span></p></body></html>
","
<html xmlns=""http://www.w3.org/1999/xhtml""><head></head><body><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">This patient is experiencing a worsening of COPD, complicated by acute hypercapnic respiratory failure, indicated by a low pH (7.23), elevated PaCO2 (8 kPa), and hypoxaemia (PaO2 7.3 kPa) despite treatment with intravenous hydrocortisone, salbutamol nebulisers, and ipratropium nebulisers. Non-invasive ventilation (NIV) is the recommended initial approach as it enhances gas exchange, reduces breathing effort, and helps avoid endotracheal intubation.</span></p><br /><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">Aminophylline, a bronchodilator, is typically used when beta-agonists and anticholinergics are ineffective. However, NIV is preferred over aminophylline.</span><span style=""color:#45818e;font-weight:400;font-style:italic;text-decoration:none;vertical-align:baseline;""><i><colorcyan>The use of intravenous aminophylline for managing COPD exacerbations is decreasing. Studies indicate minimal added benefit over standard therapies. Its narrow therapeutic window poses risks, especially in older patients or those with multiple health issues. We recommend avoiding aminophylline in favor of safer alternatives.</colorcyan></i></span></p><br /><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">Intubation and invasive ventilation are reserved for those who fail NIV or have specific contraindications or severe clinical features. In this case, the patient shows acute hypercapnic respiratory failure but has not failed NIV, making NIV the appropriate initial treatment.</span></p><br /></body></html>
",single_choice,"[{""option"":""Non-invasive ventilation (NIV)"",""correct"":true},{""option"":""Endotracheal intubation"",""correct"":false},{""option"":""Administer aminophylline"",""correct"":false},{""option"":""Administer oral co-amoxiclav"",""correct"":false},{""option"":""Administer intravenous diuretics"",""correct"":false}]"
Anaesthesiology,Atelectasis,"
<html xmlns=""http://www.w3.org/1999/xhtml""><head></head><body><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">A 54-year-old female, recently recovering from abdominal surgery, is experiencing respiratory difficulties. Her oxygen saturation is at 88% while breathing room air, and her respiratory rate is 24 breaths per minute. Upon examination, the arterial blood gas (ABG) analysis shows:</span></p><br /><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">pH 7.32 (7.35 – 7.45)</span></p><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">PaO2: 8 kPa (10-14)</span></p><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">PaCO2: 7.1 kPa (4.7-6.0)</span></p><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">Bicarbonate 24 mmol/L (22-26)</span></p><br /><p><span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">She exhibits diminished breath sounds on the left side of her chest. What should be the first step in her treatment?</span></p></body></html>
","
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">Recent arterial blood gas analysis indicates respiratory acidosis, which arises from carbon dioxide (CO2) buildup in the bloodstream due to insufficient ventilation. This aligns with the patient's reduced oxygen saturation levels. Diminished breath sounds on the left chest suggest the presence of atelectasis, indicating a partial lung collapse.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">Given the low oxygen saturation and respiratory distress, employing CPAP is advisable. CPAP delivers continuous positive airway pressure, aiding in the opening of alveoli and improving ventilation.</span></p>
<br />
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none; vertical-align: baseline;"">While chest physiotherapy can be helpful, it is not the primary treatment for individuals experiencing respiratory distress with low oxygen saturation.</span></p>
<br /><br /><br /><br />
<p><u><em><colorcyan>Practical Tip:</colorcyan></em></u><colorcyan></colorcyan><em><colorcyan>When choosing between chest physiotherapy and CPAP for atelectasis management, assess for low saturations and respiratory distress.</colorcyan></em></p>
<p><em><colorcyan>Normal saturation (or near normal) → Opt for chest physiotherapy</colorcyan></em></p>
<p><em><colorcyan>Low saturations + respiratory distress → Opt for CPAP (generally more effective for enhancing oxygenation and preferred when low saturations are an issue)</colorcyan></em></p>
",single_choice,"[{""option"":""Continuous Positive Airway Pressure (CPAP)"",""correct"":true},{""option"":""Furosemide"",""correct"":false},{""option"":""Chest physiotherapy"",""correct"":false},{""option"":""No intervention is required; continue monitoring"",""correct"":false},{""option"":""Administer a bronchodilator and observe for improvement"",""correct"":false}]"
Anaesthesiology,ABC,"
<span style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">A young boy, approximately 9 years old, arrives unconscious at the Emergency Department. His parents explain that he was playing with his sibling when he tumbled down a set of stairs. This happened about 30 minutes ago, and he has yet to regain consciousness. The nurse has attached him to a monitor displaying a heart rate of 90 beats per minute, blood pressure reading 126/70 mmHg, and a respiratory rate of 11 breaths per minute. What is the most suitable initial management for this situation?</span>
","
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Understanding how to effectively conduct a primary survey is crucial for patient care.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #45818e; background-color: transparent; font-weight: 400; font-style: italic; text-decoration: none;"">In any medical setting, prioritize the ABC approach.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; text-decoration: none;"">The Primary Survey (ABCDE)</span></p>
<ul>
    <li dir=""ltr"" style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none""><p dir=""ltr""><span style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none"">Airway → Ensure the airway and cervical spine are secure.</span></p></li>
    <li dir=""ltr"" style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none""><p dir=""ltr""><span style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none"">Breathing and ventilation</span></p></li>
    <li dir=""ltr"" style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none""><p dir=""ltr""><span style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none"">Circulation with haemorrhage control</span></p></li>
    <li dir=""ltr"" style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none""><p dir=""ltr""><span style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none"">Disability → Evaluate neurological status</span></p></li>
    <li dir=""ltr"" style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none""><p dir=""ltr""><span style=""color: #000000;background-color: transparent;font-style: normal;text-decoration: none"">Exposure/environmental control</span></p></li>
</ul>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Securing the airway takes precedence. If GCS is ≤ 9, or if the airway is at risk, an anaesthetist may need to assist with intubation.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Once the airway is secure, bag-mask ventilation follows as the next step.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">A CT scan is not the first action; patient stabilization is the priority.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: none;"">Starting chest compressions is incorrect unless the patient is in cardiac arrest.</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><span style=""font-size: 11pt; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; text-decoration: none;"">Further reading:</span></p>
<p dir=""ltr"" style=""line-height: 1.38;""><a href=""https://www.resus.org.uk/resuscitation-guidelines/abcde-approach/"" style=""text-decoration: none;""><span style=""font-size: 11pt; color: #1155cc; background-color: transparent; font-weight: 400; font-style: normal; text-decoration: underline; -webkit-text-decoration-skip: none; text-decoration-skip-ink: none;"">https://www.resus.org.uk/resuscitation-guidelines/abcde-approach/</span></a></p>
",single_choice,"[{""option"":""Begin bag and mask ventilation"",""correct"":false},{""option"":""Start Intravenous fluids"",""correct"":false},{""option"":""Secure the airway"",""correct"":true},{""option"":""Arrange for a CT scan of the brain"",""correct"":false},{""option"":""Call for help and start chest compressions"",""correct"":false}]"
Anaesthesiology,"Transurethral Resection of Bladder Surgery, Anaesthesia","
<html xmlns=""http://www.w3.org/1999/xhtml"">
<head></head>
<body>
<span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">
A 67-year-old man is scheduled for transurethral resection of the bladder (TURB) due to a significant bladder tumor. His medical history is notable for chronic obstructive pulmonary disease (COPD), requiring long-term oxygen therapy (LTOT). Preoperative pulmonary function tests reveal moderate to severe impairment. What is the most suitable anaesthetic technique for this patient undergoing TURB?
</span>
</body>
</html>
","
<html xmlns=""http://www.w3.org/1999/xhtml"">
<head></head>
<body>
<span style=""color:#000000;font-weight:400;font-style:normal;text-decoration:none;vertical-align:baseline;"">Spinal anaesthesia is an ideal option for this patient. This technique, a type of regional anaesthesia, involves administering anaesthetic near the spinal nerves in the lower back. It effectively alleviates pain during lower abdominal and pelvic surgeries, such as transurethral resection of the bladder. For patients with COPD, spinal anaesthesia is advantageous as it circumvents the respiratory depressant effects often seen with general anaesthesia. This approach reduces the risk of pulmonary complications, which is crucial for a patient with compromised lung function due to COPD and long-term oxygen therapy (LTOT).</span>
</body>
</html>
",single_choice,"[{""option"":""Local anaesthesia"",""correct"":false},{""option"":""Penile block"",""correct"":false},{""option"":""Spinal anaesthesia"",""correct"":true},{""option"":""General anaesthesia"",""correct"":false},{""option"":""Topical anaesthesia"",""correct"":false}]"
Anaesthesiology,Status epilepticus,"
<span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none;"">A 26-year-old man arrives at the Emergency Department experiencing a generalized tonic-clonic seizure that has persisted for 30 minutes. His airways are secured, and his SpO2 is stable at 98%. The capillary glucose reading is 4.4 mmol/L. Intravenous access is established, and he has received two doses of intravenous lorazepam, but the seizures continue. Accompanying him, his partner mentions that he is prescribed sodium valproate for epilepsy management. What is the most appropriate single intervention for this patient?</span>
","
<p><span style=""color: #000000; font-weight: 400; font-style: normal; text-decoration: none;"">The current condition is status epilepticus. The patient continues to experience seizures despite receiving two doses of IV lorazepam. The next suitable treatment is an infusion of phenytoin. Both phenytoin and phenobarbital serve as second-line therapies after administering two doses of IV lorazepam.</span><em><colorcyan> IV phenytoin is recommended if the patient is NOT already taking phenytoin, as it is more accessible than IV phenobarbital.&nbsp;</colorcyan></em></p>
<br />
<p><em><colorcyan>IV phenobarbital is indicated if the patient is on phenytoin. Once IV phenobarbital is initiated, phenytoin levels can be monitored, and additional doses can be provided to address any deficiency.</colorcyan></em></p>
",single_choice,"[{""option"":""IV Lorazepam"",""correct"":false},{""option"":""IV Phenobarbital"",""correct"":false},{""option"":""IV Phenytoin"",""correct"":true},{""option"":""IV Dextrose"",""correct"":false},{""option"":""IV Diazepam"",""correct"":false}]"
